date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:29	145073/145073	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:13:47%20GMT	https://www.classcentral.com/report/author/manoel/	D:/Class%20Central%202/CC/www.classcentral.com/report/author/manoel/index.html	(from https://www.classcentral.com/)
22:28:29	1154/1154	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2017:58:10%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Freport%2Fwp-content%2Fuploads%2F2023%2F02%2FProlog-BCG-Banner.png?auto=format&blur=200&ixlib=php-3.3.1&px=16&w=300&s=861f97074640450983428467a75d8f9e	D:/Class%20Central%202/CC/ccweb.imgix.net/https_/www.classcentral.com/report/wp-content/uploads/2023/02/Prolog-BCG-Bannerfcfa.png	(from https://www.classcentral.com/)
22:28:30	180268/180268	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:13:50%20GMT	https://www.classcentral.com/report/chinese-mooc-platforms/	D:/Class%20Central%202/CC/www.classcentral.com/report/chinese-mooc-platforms/index.html	(from https://www.classcentral.com/)
22:28:30	12092/12092	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2016:49:58%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Freport%2Fwp-content%2Fuploads%2F2023%2F02%2FProlog-BCG-Banner.png?auto=format&ixlib=php-3.3.1&w=300&s=76da3db3d00242c9f24e7a1b4a97a1d3	D:/Class%20Central%202/CC/ccweb.imgix.net/https_/www.classcentral.com/report/wp-content/uploads/2023/02/Prolog-BCG-Banner51ad.png	(from https://www.classcentral.com/)
22:28:31	148013/148013	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:10:17%20GMT	https://www.classcentral.com/report/author/ruima/	D:/Class%20Central%202/CC/www.classcentral.com/report/author/ruima/index.html	(from https://www.classcentral.com/)
22:28:31	1455/1455	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2017:58:10%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Freport%2Fwp-content%2Fuploads%2F2023%2F02%2FASL-BCG-Banner.png?auto=format&blur=200&ixlib=php-3.3.1&px=16&w=300&s=bf8c3bc9e5c82092cb8481612b4559f9	D:/Class%20Central%202/CC/ccweb.imgix.net/https_/www.classcentral.com/report/wp-content/uploads/2023/02/ASL-BCG-Bannerdfd1.png	(from https://www.classcentral.com/)
22:28:32	138607/138607	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:13:53%20GMT	https://www.classcentral.com/report/futurelearn-expands-paywall/	D:/Class%20Central%202/CC/www.classcentral.com/report/futurelearn-expands-paywall/index.html	(from https://www.classcentral.com/)
22:28:33	9201/9201	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2016:49:58%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Freport%2Fwp-content%2Fuploads%2F2023%2F02%2FASL-BCG-Banner.png?auto=format&ixlib=php-3.3.1&w=300&s=0933bd3ef816ed692ee306bab27336ac	D:/Class%20Central%202/CC/ccweb.imgix.net/https_/www.classcentral.com/report/wp-content/uploads/2023/02/ASL-BCG-Banner4fc9.png	(from https://www.classcentral.com/)
22:28:33	147010/147010	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202023%2014:13:54%20GMT	https://www.classcentral.com/report/author/pat-bowden/	D:/Class%20Central%202/CC/www.classcentral.com/report/author/pat-bowden/index.html	(from https://www.classcentral.com/)
22:28:33	1126/1126	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2017:58:10%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Freport%2Fwp-content%2Fuploads%2F2023%2F02%2FErlang-BCG-Banner.png?auto=format&blur=200&ixlib=php-3.3.1&px=16&w=300&s=a3d189af89fd37fee09be73ab3340c62	D:/Class%20Central%202/CC/ccweb.imgix.net/https_/www.classcentral.com/report/wp-content/uploads/2023/02/Erlang-BCG-Banner3fea.png	(from https://www.classcentral.com/)
